Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 9.0.12,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 9.0.12,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,,,Microsoft.AspNetCore.Identity.UI 9.0.12,,,,,"Microsoft.AspNetCore.Identity.UI, 9.0.12  Recommendation:  Remove Microsoft.AspNetCore.Identity.UI, and replace with new package Microsoft.AspNetCore.Identity.UI 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 9.0.12,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 9.0.12  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,,,Microsoft.EntityFrameworkCore.Tools 9.0.12,,,,,"Microsoft.EntityFrameworkCore.Tools, 9.0.12  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Program.cs,41,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Program.cs,37,4,T:Microsoft.AspNetCore.Builder.MigrationsEndPointExtensions,,,,,app.UseMigrationsEndPoint();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Program.cs,37,4,M:Microsoft.AspNetCore.Builder.MigrationsEndPointExtensions.UseMigrationsEndPoint(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseMigrationsEndPoint();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Authorization.Core.UI.Test.Web\Authorization.Core.UI.Test.Web.csproj,File,Authorization.Core.UI.Test.Web\Program.cs,22,8,M:System.TimeSpan.FromMinutes(System.Int64),,,,,options.Lockout.DefaultLockoutTimeSpan = TimeSpan.FromMinutes(5);
